34,P100 Classic Frame,  13.50 ,  12.50 ,  11.50 ,  10.50 ,  12.50 ,  10.50 ,0,0,0,0,0,0,0,1,3,NULL,NULL,NULL
35,P100 ClassicFrench,  13.50 ,  12.50 ,  11.50 ,  10.50 ,  12.50 ,  10.50 ,0,0,0,0,0,0,0,0,3,NULL,NULL,NULL
36,P200 Classic,  14.50 ,  13.50 ,  12.50 ,  11.50 ,  13.50 ,  11.50 ,0,0,0,0,0,0,0,0,3,NULL,NULL,NULL
37,P200 Classic DF,  14.50 ,  13.50 ,  12.50 ,  11.50 ,  13.50 ,  11.50 ,0,0,0,0,0,0,0,0,3,NULL,NULL,NULL
38,P200 Classic Frame,  14.50 ,  13.50 ,  12.50 ,  11.50 ,  13.50 ,  11.50 ,0,0,0,0,0,0,0,1,3,NULL,NULL,NULL
39,P200 Classic French,  14.50 ,  13.50 ,  12.50 ,  11.50 ,  13.50 ,  11.50 ,0,0,0,0,0,0,0,0,3,NULL,NULL,NULL
40,P300 Classic,  15.50 ,  14.50 ,  13.50 ,  12.50 ,  14.50 ,  12.50 ,0,0,0,0,0,0,0,0,3,NULL,NULL,NULL
41,P300 Classic DF,  15.50 ,  14.50 ,  13.50 ,  12.50 ,  14.50 ,  12.50 ,0,0,0,0,0,0,0,0,3,NULL,NULL,NULL
42,P300 Classic Frame,  15.50 ,  14.50 ,  13.50 ,  12.50 ,  14.50 ,  12.50 ,0,0,0,0,0,0,0,1,3,NULL,NULL,NULL
43,P300 Classic French,  15.50 ,  14.50 ,  13.50 ,  12.50 ,  14.50 ,  12.50 ,0,0,0,0,0,0,0,0,3,NULL,NULL,NULL
44,P400 Classic,  14.50 ,  13.50 ,  12.50 ,  11.50 ,  13.50 ,  11.50 ,0,0,0,0,0,0,0,0,3,NULL,NULL,NULL
45,P400 Classic DF,  14.50 ,  13.50 ,  12.50 ,  11.50 ,  13.50 ,  11.50 ,0,0,0,0,0,0,0,0,3,NULL,NULL,NULL
46,P400 Classic Frame,  14.50 ,  13.50 ,  12.50 ,  11.50 ,  13.50 ,  11.50 ,0,0,0,0,0,0,0,1,3,NULL,NULL,NULL
47,P400 Classic French,  14.50 ,  13.50 ,  12.50 ,  11.50 ,  13.50 ,  11.50 ,0,0,0,0,0,0,0,0,3,NULL,NULL,NULL
48,P500 Classic,  15.50 ,  14.50 ,  13.50 ,  12.50 ,  14.50 ,  12.50 ,0,0,0,0,0,0,0,0,3,NULL,NULL,NULL
49,P500 Classic DF,  15.50 ,  14.50 ,  13.50 ,  12.50 ,  14.50 ,  12.50 ,0,0,0,0,0,0,0,0,3,NULL,NULL,NULL
50,P500 Classic Frame,  15.50 ,  14.50 ,  13.50 ,  11.50 ,  14.50 ,  12.50 ,0,0,0,0,0,0,0,1,3,NULL,NULL,NULL
51,P500 Classic French,  15.50 ,  14.50 ,  13.50 ,  12.50 ,  14.50 ,  12.50 ,0,0,0,0,0,0,0,0,3,NULL,NULL,NULL
52,S100 Classic,  18.00 ,  17.00 ,  16.00 ,  15.00 ,  17.00 ,  14.92 ,0,0,0,0,0,0,0,0,3,NULL,NULL,NULL
53,S100 Classic DF,  18.00 ,  17.00 ,  16.00 ,  15.00 ,  17.00 ,  14.92 ,0,0,0,0,0,0,0,0,3,NULL,NULL,NULL
54,S100 Classic Frame,  13.50 ,  12.50 ,  11.50 ,  10.50 ,  12.50 ,  10.50 ,0,0,0,0,0,0,0,1,3,NULL,NULL,NULL
55,S100 Classic French,  13.50 ,  12.50 ,  11.50 ,  10.50 ,  12.50 ,  10.50 ,0,0,0,0,0,0,0,0,3,NULL,NULL,NULL
56,S200 Classic,  19.50 ,  18.50 ,  17.50 ,  16.50 ,  18.50 ,  16.90 ,0,0,0,0,0,0,0,0,3,NULL,NULL,NULL
57,S200 Classic DF,  19.50 ,  18.50 ,  17.50 ,  16.50 ,  18.50 ,  16.90 ,0,0,0,0,0,0,0,0,3,NULL,NULL,NULL
58,S200 Classic Frame,  14.50 ,  13.50 ,  12.50 ,  11.50 ,  13.50 ,  11.50 ,0,0,0,0,0,0,0,1,3,NULL,NULL,NULL
59,S200 Classic French,  14.50 ,  13.50 ,  12.50 ,  11.50 ,  13.50 ,  11.50 ,0,0,0,0,0,0,0,0,3,NULL,NULL,NULL
60,S300 Classic,  21.00 ,  20.00 ,  19.00 ,  18.00 ,  20.00 ,  18.68 ,0,0,0,0,0,0,0,0,3,NULL,NULL,NULL
61,S300 Classic DF,  21.00 ,  20.00 ,  19.00 ,  18.00 ,  20.00 ,  18.68 ,0,0,0,0,0,0,0,0,3,NULL,NULL,NULL
62,S300 Classic Frame,  15.50 ,  14.50 ,  13.50 ,  12.50 ,  14.50 ,  12.50 ,0,0,0,0,0,0,0,1,3,NULL,NULL,NULL
63,S300 Classic French,  15.50 ,  14.50 ,  13.50 ,  12.50 ,  14.50 ,  12.50 ,0,0,0,0,0,0,0,0,3,NULL,NULL,NULL
